"Department","Department Abbreviation","Body/Agency","Agency Abbreviation","Name of service","2012 Q4: volume","2012 Q4: digital volume","2012 Q4: cost per transaction","2013 Q1: volume","2013 Q1: digital volume","2013 Q1: cost per transaction","Service Type","URL","Description of service","Notes on costs","Other notes","Customer type","Business model"
"Department for Business, Innovation and Skills","BIS","Advisory, Conciliation and Arbitration Service","Acas","Ordering ACAS publications","1800","","","651","","","Requesting information","http://www.acas.org.uk/elearning/index.asp","","","","Business","Fiscal"
"Department of Energy and Climate Change","DECC","Ofgem","","Renewables Obligation - accreditation","220","220","","650","","","Registering","https://www.renewablesandchp.ofgem.gov.uk/","","","","Business","Fiscal"
"Department for Business, Innovation and Skills","BIS","Department for Business, Innovation and Skills","BIS","Queen's Awards online application/nomination submissions","921","","","645","","","Providing/reporting information","","","","","Business","Fiscal"
"Department of Energy and Climate Change","DECC","Oil & Gas (DECC)","","Petroleum Licence Administration","550","","","576","576","","Amending/deleting information","https://www.og.decc.gov.uk/portal.htm","","","","Business","Fiscal"
"Department for Business, Innovation and Skills","BIS","Insolvency Service","INSS","Notify SIP-16","600","","","556","","","Providing/reporting information","http://www.bis.gov.uk/insolvency","","","","Business","Fiscal"
"Department for Business, Innovation and Skills","BIS","Office of Fair Trading","OFT","Voluntarily surrendering an existing consumer credit licence","500","","","555","","","Requesting a licence/authorisation","http://www.oft.gov.uk/","","","","Business","Fiscal"
"Department for Business, Innovation and Skills","BIS","Intellectual Property Office","IPO","Notice of defence and counter-statement - TM8","519","","","519","","","Providing/reporting information","http://www.ipo.gov.uk/pro-types/pro-tm/pro-t-formsfees.htm","","","","Business","Cost recovery"
"Department for Environment, Food and Rural Affairs","Defra","Marine Management Organisation","MMO","European Fisheries Fund applications","300","","","504","","","Requesting benefits/grants/loans","","","","","Business","Cost recovery"
"Department of Energy and Climate Change","DECC","Coal Authority","","Statutory Development Plan Consultation","","","","500","490","","","","","","","Business","Fiscal"
"Department for Business, Innovation and Skills","BIS","Intellectual Property Office","IPO","Request to merge applications or registrations - TM17","489","","","489","","","Amending/deleting information","http://www.ipo.gov.uk/pro-types/pro-tm/pro-t-formsfees.htm","","","","Business","Cost recovery"
"Department for Education","DfE","Department for Education","DfE","Learner Support (direct to young people)","250000","","","488","","","Requesting information","http://www.education.gov.uk/childrenandyoungpeople/youngpeople/studentsupport/funding/a00203348/admin","","","","Citizen (challenged)","Fiscal"
"Department for Environment, Food and Rural Affairs","Defra","Natural England","","Organic Entry Level Stewardship","","","","482","","","Requesting benefits/grants/loans","http://www.naturalengland.org.uk/ourwork/farming/funding/es/oels/howtogetstartedoels.aspx","","","","Business","Fiscal"
"Department for Education","DfE","Department for Education","DfE","Appeal against exam results","11","","","477","","","Registering","","","","","Business","Fiscal"
"Home Office","Home Office","Identity and Passport Service","IPS","Registrar General's Licence for Marriage and Civil Partnership","460","","","435","","","Requesting a licence/authorisation","","","","","Business","Fiscal"
"Department for Environment, Food and Rural Affairs","Defra","Natural England","","Applications to suspend rights of access to open access land","411","","","434","","","Providing/reporting information","http://www.naturalengland.org.uk/ourwork/access/openaccess/restrictions.aspx","","","","",""
"Department for Transport","DfT","Driver and Vehicle Licensing Agency","DVLA","Change of address (V778)","422","","","","","","Amending/deleting information","","","","","Citizen (mainstream)","Cost recovery"
"Department for Business, Innovation and Skills","BIS","Intellectual Property Office","IPO","Application to record or cancel a registrable transaction other than assignment or licence/ application to record or cancel a notifiable transcation under the Madrid Protocol - TM24","400","","","400","","","Amending/deleting information","http://www.ipo.gov.uk/pro-types/pro-tm/pro-t-formsfees.htm","","","","Business","Cost recovery"
"Department for Environment, Food and Rural Affairs","Defra","Rural Payments Agency","RPA","Internal market private storage aid and intervention","918","","","400","","","Requesting benefits/grants/loans","","","","","Business","Fiscal"
"Department of Energy and Climate Change","DECC","Oil & Gas (DECC)","","Applications made under the Well Operation Notifications System","","","","395","","","","","","","","",""
"Department for Business, Innovation and Skills","BIS","National Measurement Office","NMO","Application for Calibration","240","200","","392","","","Requesting a licence/authorisation","http://www.nmodoitonline.bis.gov.uk/applicationform/Application_For_The_Calibration_of_Mass_Length_or_Volume.aspx","","","","Business",""
"Department for Business, Innovation and Skills","BIS","Intellectual Property Office","IPO","Request for cooling off period - TM9C","375","","","375","","","Requesting information","http://www.ipo.gov.uk/pro-types/pro-tm/pro-t-formsfees.htm","","","","Business","Cost recovery"
"Department of Energy and Climate Change","DECC","Enhanced Capital Allowance","ECA","ECA Scheme - ETL Data Cleaning","300","","","355","355","","Requesting benefits/grants/loans","http://etl.decc.gov.uk/etl/claim/","","","","Business","Fiscal"
"Department for Environment, Food and Rural Affairs","Defra","Natural England","","Reports under Wildlife Incident Investigation Scheme","400","","","352","","","Providing/reporting information","http://www.naturalengland.org.uk/ourwork/regulation/wildlife/enforcement/poisoning.aspx","","","","",""
"Department for Work and Pensions","DWP","Health and Safety Executive","HSE","Application for classification of explosives","350","","","","","","Requesting information","http://www.hse.gov.uk/explosives/classification/index.htm","","","","Business","Fiscal"
"Home Office","Home Office","Identity and Passport Service","IPS","Application for an entry in the Gender Recognition Register","240","","","350","","","Registering","","","","","Citizen (mainstream)","Fiscal"
"Department of Energy and Climate Change","DECC","Department of Energy and Climate Change","DECC","Energy Technology List - applications","350","","","349","349","","Requesting benefits/grants/loans","http://etl.decc.gov.uk/etl/faqs.htm","","","","Business","Fiscal"
"Department of Energy and Climate Change","DECC","Enhanced Capital Allowance","ECA","ECA Scheme - ETL Batched Product Application","350","","","349","349","","Requesting benefits/grants/loans","http://etl.decc.gov.uk/etl/claim/","","","","Business","Fiscal"
"Department of Energy and Climate Change","DECC","Enhanced Capital Allowance","ECA","ECA Scheme - ETL Research","600","","","340","","","Requesting benefits/grants/loans","http://etl.decc.gov.uk/etl/claim/","","","","Business","Fiscal"
"Department of Energy and Climate Change","DECC","Oil & Gas (DECC)","","Petroleum Operations Notice No.14 (Habitats Regs) Applications","338","","","329","","","Requesting a licence/authorisation","","","","","Business","Fiscal"
"Department of Energy and Climate Change","DECC","Oil & Gas (DECC)","","Consents and notifications issued under the Well Operation Notifications System","316","","","316","316","","Requesting a licence/authorisation","https://www.og.decc.gov.uk/portal.htm","","","","Business","Fiscal"
"Department of Energy and Climate Change","DECC","Oil & Gas (DECC)","","Offshore Petroleum Activities (Oil Pollution Prevention and Control) Regulations 2005 - Applications","242","","","308","","","Requesting a licence/authorisation","","","","","Business","Cost recovery"
"Department of Energy and Climate Change","DECC","Oil & Gas (DECC)","","Stewardship production efficiency returns for oil/gas fields","292","","","305","305","","Providing/reporting information","https://www.og.decc.gov.uk/portal.htm","","","","Business","Fiscal"
"Department for Business, Innovation and Skills","BIS","Higher Education Funding Council for England","HEFCE","Funding requests and applications","600","","","300","","","Requesting benefits/grants/loans","","","","","Business","Fiscal"
"Department of Energy and Climate Change","DECC","Oil & Gas (DECC)","","Necessary wayleave applications","300","","","300","261","","Requesting a licence/authorisation","https://www.og.decc.gov.uk/EIP.htm","","","","Business","Fiscal"
"Department for Environment, Food and Rural Affairs","Defra","Rural Payments Agency","RPA","Internal market sugar production charge","","","","300","","","Requesting benefits/grants/loans","","","","","Business","Fiscal"
"Department for Work and Pensions","DWP","Health and Safety Executive","HSE","Application process under the Control of Pesticides Regulations (COPR)","","","","298","","","Requesting a licence/authorisation","","","","","Business","Fiscal"
"Department for Business, Innovation and Skills","BIS","National Apprenticeship Service","NAS","National Training Awards application site: Total number of registrations","310","","","282","","","Registering","http://www.apprenticeships.org.uk/About-Us/National-Apprenticeship-Service.aspx/","","","","Business","Fiscal"
"Home Office","Home Office","Identity and Passport Service","IPS","Application to reduce to the 15 day notice period for marriage or civil partnership","350","","","278","","","Requesting a licence/authorisation","","","","","Business","Fiscal"
"Department of Energy and Climate Change","DECC","Ofgem","","Feed in Tariffs - Levelisation","360","360","","250","","","Providing/reporting information","https://www.renewablesandchp.ofgem.gov.uk/","","","","Business","Fiscal"
"Department of Energy and Climate Change","DECC","Oil & Gas (DECC)","","Overhead electricity line consents.","250","","","250","","","Requesting a licence/authorisation","https://www.og.decc.gov.uk/EIP.htm","","","","Business","Fiscal"
"Home Office","Home Office","Home Office","","Domestic licensing compliance visits (drugs)","800","","","250","","","Requesting a licence/authorisation","","","","","Business","Fiscal"
"Department for Business, Innovation and Skills","BIS","Intellectual Property Office","IPO","Application to restore a patent - F16","228","","","228","","","Amending/deleting information","","","","","Business","Cost recovery"
"Department of Energy and Climate Change","DECC","Oil & Gas (DECC)","","Petroleum Licence Applications Received:","200","","","220","220","","Requesting a licence/authorisation","https://www.og.decc.gov.uk/portal.htm","","","","Business","Fiscal"
"Department for Environment, Food and Rural Affairs","Defra","Natural England","","Environmental Impact Assessments screening decisions","200","","","210","","","Requesting a licence/authorisation","http://www.naturalengland.org.uk/ourwork/regulation/eia/default.aspx","","","","Business",""
"Department of Energy and Climate Change","DECC","Oil & Gas (DECC)","","Energy Act Part 4A Applications","187","","","209","","","Requesting a licence/authorisation","","","","","Business","Fiscal"
"Department for Business, Innovation and Skills","BIS","Intellectual Property Office","IPO","Notice to surrender a registration - TM22","204","","","204","","","Providing/reporting information","http://www.ipo.gov.uk/pro-types/pro-tm/pro-t-formsfees.htm","","","","Business","Cost recovery"
"Department for Work and Pensions","DWP","Health and Safety Executive","HSE","Notifications relating to intention to use premises for genetic modification (CU1 and CU2)","181","","","204","","","Providing/reporting information","","","","","Business",""
"Department for Business, Innovation and Skills","BIS","National Measurement Office","NMO","Enforcement online response system for compliance with RoHS, Batteries, ELF and EuP","200","200","","200","","","Requesting a licence/authorisation","https://www.bis.gov.uk/onlineresponse/","","","","Business","Fiscal"
"Department for Environment, Food and Rural Affairs","Defra","Food and Environment Research Agency","Fera","Plant Health Propagation Scheme","200","","","","","","Requesting a licence/authorisation","http://www.fera.defra.gov.uk/","","","","Business","Fiscal"
"Department for Environment, Food and Rural Affairs","Defra","Food and Environment Research Agency","Fera","Seed potato classification scheme","200","","","","","","Requesting a licence/authorisation","http://www.fera.defra.gov.uk/","","","","Business","Fiscal"
"Department for Environment, Food and Rural Affairs","Defra","Food and Environment Research Agency","Fera","Licences for research using otherwise prohibited plant material","200","","","","","","Requesting a licence/authorisation","http://www.fera.defra.gov.uk/","","","","Business","Fiscal"
"Department for Environment, Food and Rural Affairs","Defra","Rural Payments Agency","RPA","Internal market fruit and vegetables scheme","210","","","200","","","Requesting benefits/grants/loans","","","","","Business","Fiscal"
"Department for Business, Innovation and Skills","BIS","National Measurement Office","NMO","Application for Product Certification","200","200","","197","","","Requesting a licence/authorisation","http://www.nmodoitonline.bis.gov.uk/applicationform/Application_for_Product_Certification.aspx","","","","Business","Fiscal"
"Department for Business, Innovation and Skills","BIS","Insolvency Service","INSS","Information from HMRC - MF64/RD18 forms","200","","","195","","","Requesting information","http://www.bis.gov.uk/insolvency","","","","Business","Fiscal"
"Department for Business, Innovation and Skills","BIS","Insolvency Service","INSS","Request County Court Judgement (CCJ) with Local courts","200","","","195","","","Requesting a licence/authorisation","http://www.bis.gov.uk/insolvency","","","","Business","Fiscal"
"Home Office","Home Office","Identity and Passport Service","IPS","Application for an entry in the Parental Order Register","130","","","192","","","Registering","https://www.gov.uk/become-a-childs-legal-parent","","","","Citizen (mainstream)","Fiscal"
"Department for Business, Innovation and Skills","BIS","Intellectual Property Office","IPO","Notice of partial surender of spec of goods & services for which the mark is registered - TM23","190","","","190","","","Providing/reporting information","http://www.ipo.gov.uk/pro-types/pro-tm/pro-t-formsfees.htm","","","","Business","Cost recovery"
"Department for Business, Innovation and Skills","BIS","Insolvency Service","INSS","Criminal referrals Sect. 262/7A,216 and 218(4)","216","","","187","","","Providing/reporting information","http://www.bis.gov.uk/insolvency","","","","Business","Fiscal"
"Department for Business, Innovation and Skills","BIS","Intellectual Property Office","IPO","Application to register a licensee - TM50","183","","","183","","","Providing/reporting information","http://www.ipo.gov.uk/pro-types/pro-tm/pro-t-formsfees.htm","","","","Business","Cost recovery"
"Department of Energy and Climate Change","DECC","Oil & Gas (DECC)","","Pipeline Works Authorisations and Variations","240","","","175","","","Requesting a licence/authorisation","","","","","Business","Cost recovery"
"Department of Energy and Climate Change","DECC","Department of Energy and Climate Change","DECC","EU ETS Auction Platform","","","","163","163","","Requesting a licence/authorisation","","","","","Business","Fiscal"
"Department of Energy and Climate Change","DECC","Coal Authority","","Licence Applications","100","","","154","8","","Requesting a licence/authorisation","http://coal.decc.gov.uk/en/coal/cms/services/permits/permits.aspx","","","","Business","Fiscal"
"Department for Business, Innovation and Skills","BIS","Intellectual Property Office","IPO","Add extra classes - TM3A","152","","","152","","","Providing/reporting information","http://www.ipo.gov.uk/pro-types/pro-tm/pro-t-formsfees.htm","","","","Business","Cost recovery"
"Attorney General's Office","AGO","Serious Fraud Office","SFO","Victim and witness questionnaires","149","","","","","","Providing/reporting information","","","","","Citizen (mainstream)","Fiscal"
"Department for Business, Innovation and Skills","BIS","National Apprenticeship Service","NAS","National Training Awards application site: Total number of completed applications","150","","","145","","","Providing/reporting information","http://www.apprenticeships.org.uk/About-Us/National-Apprenticeship-Service.aspx/","","","","Business","Fiscal"
"Department for Business, Innovation and Skills","BIS","Insolvency Service","INSS","Non-cooperative IP notification letters","144","","","144","","","Providing/reporting information","http://www.bis.gov.uk/insolvency","","","","Business","Fiscal"
"Department for Business, Innovation and Skills","BIS","Intellectual Property Office","IPO","Request to be informed of future events relating to a patent application or patent (caveat) - F49","143","","","143","","","Requesting information","","","","","Business","Cost recovery"
"Department of Energy and Climate Change","DECC","Oil & Gas (DECC)","","Marine & Coastal Access Act Applications","105","","","142","","","Requesting a licence/authorisation","","","","","Business","Fiscal"
"Department for Business, Innovation and Skills","BIS","Intellectual Property Office","IPO","Application to declare invalid a registration or a protected international TM - TM26l","141","","","141","","","Providing/reporting information","http://www.ipo.gov.uk/pro-types/pro-tm/pro-t-formsfees.htm","","","","Business","Cost recovery"
"Department for Business, Innovation and Skills","BIS","Intellectual Property Office","IPO","Application to revoke a registration or a protected international TM for reasons of non-use - TM26N","136","","","136","","","Providing/reporting information","http://www.ipo.gov.uk/pro-types/pro-tm/pro-t-formsfees.htm","","","","Business","Cost recovery"
"Department for Business, Innovation and Skills","BIS","Skills Funding Agency","","Growth and Innovation funding application portal","130","","","","","","Requesting benefits/grants/loans","","","","Formerly 'Growth and innovation funding application portal' run by UKCES.","Business","Fiscal"
"Department for Business, Innovation and Skills","BIS","Export Credits Guarantee Department","ECGD","Provision of export credit guarantees and insurance policies - cases where support given (covering 302 guarantees or insurance policies)","72","","","129","","","Providing/reporting information","","","","","Business","Fiscal"
"Department of Energy and Climate Change","DECC","Oil & Gas (DECC)","","Pipeline Deposit Consents","88","","","122","","","Requesting a licence/authorisation","","","","","Business","Cost recovery"
"Department for Business, Innovation and Skills","BIS","Insolvency Service","INSS","Investigate Prior Failure","114","","","111","","","Providing/reporting information","http://www.bis.gov.uk/insolvency","","","","Business","Fiscal"
"Department for Environment, Food and Rural Affairs","Defra","Natural England","","Camping and caravanning exemptions certificates","80","","","107","","","Requesting a licence/authorisation","http://www.naturalengland.org.uk/ourwork/regulation/campingandcaravan/default.aspx","","","","Business","Fiscal"
"Department for Business, Innovation and Skills","BIS","Intellectual Property Office","IPO","Application to remove or amend the recordal of a licence  TM51","105","","","105","","","Requesting a licence/authorisation","http://www.ipo.gov.uk/pro-types/pro-tm/pro-t-formsfees.htm","","","","Business","Cost recovery"
"Department for Environment, Food and Rural Affairs","Defra","Food and Environment Research Agency","Fera","Seed certification","100","","","","","","Ordering goods","http://www.fera.defra.gov.uk/","","","","Business","Fiscal"
"Department for Environment, Food and Rural Affairs","Defra","Food and Environment Research Agency","Fera","Plant Breeders Rights","100","","","","","","Requesting a licence/authorisation","http://www.fera.defra.gov.uk/","","","","Business","Fiscal"
"Department for Business, Innovation and Skills","BIS","Intellectual Property Office","IPO","Request for extension to the cooling off period - TM9E","96","","","96","","","Requesting a licence/authorisation","http://www.ipo.gov.uk/pro-types/pro-tm/pro-t-formsfees.htm","","","","Business","Cost recovery"
"Department of Energy and Climate Change","DECC","Oil & Gas (DECC)","","Offshore Combustion Installation Permits (PPC)","63","","","96","","","Requesting a licence/authorisation","","","","","Business","Cost recovery"
"Department for Business, Innovation and Skills","BIS","Intellectual Property Office","IPO","Request to restore or renew a registration - TM13","88","","","88","","","Registering","http://www.ipo.gov.uk/pro-types/pro-tm/pro-t-formsfees.htm","","","","Business","Cost recovery"
"Department of Energy and Climate Change","DECC","Ofgem","","Renewables Obligation - ROC Revocation","500","","","80","","","Requesting benefits/grants/loans","","","","","Business","Fiscal"
"Department of Energy and Climate Change","DECC","Ofgem","","Renewables Obligation - Compliance","75","75","","75","","","Providing/reporting information","https://www.renewablesandchp.ofgem.gov.uk/","","","","Business","Fiscal"
"Department for Business, Innovation and Skills","BIS","Intellectual Property Office","IPO","Request to reinstate a patent application - F14","64","","","64","","","Providing/reporting information","","","","","Business","Cost recovery"
"Department of Energy and Climate Change","DECC","Ofgem","","Renewables Obligation Certificates (ROCs): issue","26000","26000","","64","","","Requesting benefits/grants/loans","","","","","Business","Fiscal"
"Department of Energy and Climate Change","DECC","Department of Energy and Climate Change","DECC","Subscription to Energy Trends and Quarterly Energy Prices statistical publications","63","","","63","45","","Registering","","","","","Business","Fiscal"
"Department for Business, Innovation and Skills","BIS","Intellectual Property Office","IPO","Application of grant of a Supplementary Protection Certificate - SP1","62","","","62","","","Requesting a licence/authorisation","http://www.ipo.gov.uk/pro-types/pro-patent/pro-p-formsfees.htm","","","","Business","Cost recovery"
"Department for Business, Innovation and Skills","BIS","Intellectual Property Office","IPO","Appointment for change of agent or contact address (legal proceedings only) - TM33P","60","","","60","","","Amending/deleting information","http://www.ipo.gov.uk/pro-types/pro-tm/pro-t-formsfees.htm","","","","Business","Cost recovery"
"Department for Environment, Food and Rural Affairs","Defra","Food and Environment Research Agency","Fera","Import and production of seeds at risk of GM presence","60","","","","","","Requesting information","http://www.fera.defra.gov.uk/","","","","Business","Fiscal"
"Department for Work and Pensions","DWP","Health and Safety Executive","HSE","Apply for explosives licence","60","","","","","","Requesting a licence/authorisation","http://www.hse.gov.uk/explosives/licensing/index.htm","","","","Business",""
"Department for Business, Innovation and Skills","BIS","Intellectual Property Office","IPO","Alter a registered mark - TM25","59","","","59","","","Amending/deleting information","http://www.ipo.gov.uk/pro-types/pro-tm/pro-t-formsfees.htm","","","","Business","Cost recovery"
"Department for Business, Innovation and Skills","BIS","Intellectual Property Office","IPO","Filing a translation in connection with a European patent or a European patent application - F54","55","","","55","","","Providing/reporting information","","","","","Business","Cost recovery"
"Department for Work and Pensions","DWP","Health and Safety Executive","HSE","Pipeline Safety Regulations: Notification in other cases (PSR Reg 22 (2))","21","","","54","","","Providing/reporting information","","","","","Business","Fiscal"
"Department for Work and Pensions","DWP","Health and Safety Executive","HSE","Notification of use and consignment of biological agents (CBA1)","44","","","52","","","Providing/reporting information","","","","","Business","Fiscal"
"Department for Environment, Food and Rural Affairs","Defra","Natural England","","Energy Crops Scheme","27","","","48","","","Requesting benefits/grants/loans","http://www.naturalengland.org.uk/ourwork/farming/funding/ecs/default.aspx","","","","Business",""
"Department for Business, Innovation and Skills","BIS","Intellectual Property Office","IPO","Initial of proceeding before the Comptroller - F2","46","","","46","","","","","","","","Business","Cost recovery"
"Department for Business, Innovation and Skills","BIS","Higher Education Funding Council for England","HEFCE","E-tenders for HEFCE procurements","60","","","45","","","Providing/reporting information","","","","","Business","Fiscal"
"Department for Business, Innovation and Skills","BIS","Intellectual Property Office","IPO","Late additions and declarations of priority - F3","43","","","43","","","","","","","","Business","Cost recovery"
"Department for Business, Innovation and Skills","BIS","Intellectual Property Office","IPO","Payment of annual fees - SP2","41","","","41","","","Making a payment (taxes and fines)","http://www.ipo.gov.uk/pro-types/pro-patent/pro-p-formsfees.htm","","","","Business","Cost recovery"
"Department for Business, Innovation and Skills","BIS","Office of Fair Trading","OFT","Applying for a direction or order under the Consumer Credit Act 1974 (and paying the associated fee)","150","","","41","","","Requesting a licence/authorisation","http://www.oft.gov.uk/","","","","Business","Fiscal"
"Department of Energy and Climate Change","DECC","Enhanced Capital Allowance","ECA","ECA Scheme - ETL Product Testing","50","","","41","41","","Requesting benefits/grants/loans","http://etl.decc.gov.uk/etl/claim/","","","","Business","Fiscal"
"Department for Business, Innovation and Skills","BIS","Intellectual Property Office","IPO","Request to divide an application - TM12","40","","","40","","","Amending/deleting information","http://www.ipo.gov.uk/pro-types/pro-tm/pro-t-formsfees.htm","","","","Business","Cost recovery"
"Department for Environment, Food and Rural Affairs","Defra","Forestry Commission","","Illegal felling reports","40","","","","","","Providing/reporting information","","","","","Business","Fiscal"
"Department for Business, Innovation and Skills","BIS","Intellectual Property Office","IPO","Application by the proprietor of a patent to cancel an entry in the register that licences under the patent are available as of right - F30","36","","","36","","","Amending/deleting information","","","","","Business","Cost recovery"
"Department for Business, Innovation and Skills","BIS","UK Space Agency","","Applications for 'Space for All' community sponsorship awards","25","","","36","","","Requesting benefits/grants/loans","","","","","Business","Fiscal"
"Department for Business, Innovation and Skills","BIS","Insolvency Service","INSS","Information about cases in relation to Crown set off ( money owed by HMRC to insolvent company)","36","","","35","","","Providing/reporting information","http://www.bis.gov.uk/insolvency","","","","Business","Fiscal"
"Department for Environment, Food and Rural Affairs","Defra","Rural Payments Agency","RPA","Internal market promotions schemes","6","","","35","","","Requesting benefits/grants/loans","","","","","Business","Fiscal"
"Department for Business, Innovation and Skills","BIS","National Measurement Office","NMO","Online booking system for training","","","","34","","","Registering","http://www.nmodoitonline.bis.gov.uk/training/introduction.aspx","","","","Business","Fiscal"
"Department for Work and Pensions","DWP","Health and Safety Executive","HSE","Pipeline Safety Regulations: Notification before construction (PSR Reg 20)","29","","","33","","","Providing/reporting information","","","","","Business",""
"Department of Energy and Climate Change","DECC","Oil & Gas (DECC)","","Petroleum Licence Change of Control Applications","30","","","30","","","Amending/deleting information","","","","","Business","Fiscal"
"Department for Business, Innovation and Skills","BIS","Intellectual Property Office","IPO","Filing of regulations governing the use of certification or collective marks - TM35","28","","","28","","","Providing/reporting information","http://www.ipo.gov.uk/pro-types/pro-tm/pro-t-formsfees.htm","","","","Business","Cost recovery"
"Department of Energy and Climate Change","DECC","Oil & Gas (DECC)","","Environmental Statements ( EIA Regulations)","24","","","28","","","Providing/reporting information","","","","","Business","Fiscal"
"Department for Education","DfE","Ofqual","","Apply to become a recognised awarding organisation","26","","","","","","Requesting a licence/authorisation","http://www.ofqual.gov.uk/for-awarding-organisations/recognition","","","","Business","Fiscal"
"Department for International Development","DFID","Department for International Development","DFID","UK aid match: submit a proposal","30","","","25","","","Requesting benefits/grants/loans","https://www.gov.uk/uk-aid-match","A fund that matches  public donations to appeals made by not-for-profit organisations for work that is carried out in developing countries to reduce poverty.","","","Business","Fiscal"
"Department for Work and Pensions","DWP","Health and Safety Executive","HSE","Pipeline Safety Regulations: Notification before use (PSR Reg 21)","22","","","25","","","Providing/reporting information","","","","","Business","Fiscal"
"Home Office","Home Office","Identity and Passport Service","IPS","Microfiche checking service","200","","","25","","","Requesting information","http://www.homeoffice.gov.uk/publications/agencies-public-bodies/ips/ips-corporate-publications/ips-business-plan-2012-2013?view=Binary","","","","Business","Fiscal"
"Department for Business, Innovation and Skills","BIS","Intellectual Property Office","IPO","Notice of appeal to the appointed person - TM55","24","","","24","","","Providing/reporting information","http://www.ipo.gov.uk/pro-types/pro-tm/pro-t-formsfees.htm","","","","Business","Cost recovery"
"Department for Business, Innovation and Skills","BIS","Intellectual Property Office","IPO","Request for opinion as to validity or infringement - F17","24","","","24","","","Requesting information","","","","","Business","Cost recovery"
"Department for Business, Innovation and Skills","BIS","National Measurement Office","NMO","Quality Management Systems (QMS) Certification Application","120","35","","24","","","Requesting a licence/authorisation","http://www.nmodoitonline.bis.gov.uk/applicationform/Quality_Management_System_Certification_On-line_Application_Form.aspx","","","","Business","Fiscal"
"Department for Work and Pensions","DWP","Health and Safety Executive","HSE","Application for registration/storage licence under the Manufacture and Storage of Explosives Regulations","20","","","","","","Requesting a licence/authorisation","","","","","Business","Fiscal"
"Department for Business, Innovation and Skills","BIS","Research Councils","","Research Councils UK - SSRI research placements","11","11","","17","","","Requesting benefits/grants/loans","","Scheme enabling organisations to engage research scientists in formal research projects and/or collaborations for sharing knowledge, experience and best practice.","","","Business","Fiscal"
"Department of Energy and Climate Change","DECC","Oil & Gas (DECC)","","Rig Stabilisation (Rock Dumping) Applications","13","","","15","15","","Requesting a licence/authorisation","https://www.og.decc.gov.uk/portal.htm","","","","Business","Fiscal"
"Department for Work and Pensions","DWP","Health and Safety Executive","HSE","Pipeline Safety Regulations: notification (PIPE1)","15","","","","","","Providing/reporting information","","","","","Business","Fiscal"
"Department for Work and Pensions","DWP","Health and Safety Executive","HSE","Provision of an Assessment Report  (REPPIR1)","15","","","","","","Providing/reporting information","","","","","Business","Fiscal"
"Department for Business, Innovation and Skills","BIS","Intellectual Property Office","IPO","Continuation of proceedings before the Comptroller - F4","12","","","12","","","Providing/reporting information","","","","","Business","Cost recovery"
"Department for Business, Innovation and Skills","BIS","Intellectual Property Office","IPO","Request for statement of reasons for registrar's decision - TM5","12","","","12","","","Requesting information","http://www.ipo.gov.uk/pro-types/pro-tm/pro-t-formsfees.htm","","","","Business","Cost recovery"
"Department for Business, Innovation and Skills","BIS","Intellectual Property Office","IPO","Request to terminate the cooling off period - TM9T","11","","","11","","","Requesting a licence/authorisation","http://www.ipo.gov.uk/pro-types/pro-tm/pro-t-formsfees.htm","","","","Business","Cost recovery"
"Department for Business, Innovation and Skills","BIS","Intellectual Property Office","IPO","Application to revoke a registration or a protected international TM for reasons other than non-use - TM26O","11","","","11","","","Providing/reporting information","http://www.ipo.gov.uk/pro-types/pro-tm/pro-t-formsfees.htm","","","","Business","Cost recovery"
"Department for Environment, Food and Rural Affairs","Defra","Natural England","","Heritage Management Plan Grants","","","","11","","","Requesting benefits/grants/loans","http://www.naturalengland.org.uk/ourwork/landscape/protection/historiccultural/heritagelandscapes/grants.aspx","","","","Business","Fiscal"
"Department for Business, Innovation and Skills","BIS","Intellectual Property Office","IPO","Application to rectify the register - TM26R","10","","","10","","","Providing/reporting information","http://www.ipo.gov.uk/pro-types/pro-tm/pro-t-formsfees.htm","","","","Business","Cost recovery"
"Department for Business, Innovation and Skills","BIS","Intellectual Property Office","IPO","Requests not to publish patent applications in the Patents Journal","3113","","","10","","","Requesting a licence/authorisation","","","","","Business","Cost recovery"
"Department of Energy and Climate Change","DECC","Oil & Gas (DECC)","","Planning Act recommendations from PINS","10","","","10","3","","Requesting information","https://www.og.decc.gov.uk/EIP.htm","","","","Business","Fiscal"
"Department of Energy and Climate Change","DECC","Oil & Gas (DECC)","","Notification of offshore decommissioning liabilities","8","","","8","2","","Providing/reporting information","https://www.og.decc.gov.uk/EIP.htm","","","","Business","Cost recovery"
"Department for Business, Innovation and Skills","BIS","Intellectual Property Office","IPO","Request for recordal of concurrent registration - TM28","7","","","7","","","Providing/reporting information","http://www.ipo.gov.uk/pro-types/pro-tm/pro-t-formsfees.htm","","","","Business","Cost recovery"
"Department for Environment, Food and Rural Affairs","Defra","Marine Management Organisation","MMO","Licensing of chemicals for the clear up of oil and chemical spills","200","","","7","","","Requesting a licence/authorisation","","","","","Business","Cost recovery"
"Department for Business, Innovation and Skills","BIS","National Measurement Office","NMO","Application for Pre-Assessment","22","22","","6","","","Requesting a licence/authorisation","http://www.nmodoitonline.bis.gov.uk/applicationform/Application_For_Pre-Assessment.aspx","","","","Business","Fiscal"
